date,power,longitude,latitude,place
11/15/2017 18:51,2,36.14,129.38,경북 포항시 북구 북쪽 11km 지역
11/15/2017 18:48,2.1,36.14,129.38,경북 포항시 북구 북쪽 11km 지역
11/15/2017 18:41,2.1,36.09,129.32,경북 포항시 북구 북서쪽 6km 지역
11/15/2017 17:42,2.2,36.14,129.37,경북 포항시 북구 북쪽 11km 지역
11/15/2017 17:11,2.8,36.08,129.31,경북 포항시 북구 북서쪽 7km 지역
11/15/2017 16:57,2.2,36.14,129.37,경북 포항시 북구 북쪽 11km 지역
11/15/2017 16:49,4.3,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
11/15/2017 16:18,2,36.14,129.36,경북 포항시 북구 북쪽 11km 지역
11/15/2017 16:16,2.4,36.09,129.35,경북 포항시 북구 북북서쪽 6km 지역
11/15/2017 16:11,2.9,36.13,129.36,경북 포항시 북구 북쪽 10km 지역
11/15/2017 15:55,2.2,36.12,129.37,경북 포항시 북구 북쪽 9km 지역
11/15/2017 15:36,2.3,36.09,129.33,경북 포항시 북구 북북서쪽 6km 지역
11/15/2017 15:23,2.6,36.09,129.35,경북 포항시 북구 북북서쪽 6km 지역
11/15/2017 15:19,2.4,36.14,129.38,경북 포항시 북구 북쪽 11km 지역
11/15/2017 15:14,2.5,36.11,129.35,경북 포항시 북구 북쪽 8km 지역
11/15/2017 15:09,3.5,36.09,129.34,경북 포항시 북구 북북서쪽 6km 지역
11/15/2017 15:00,2.9,36.11,129.35,경북 포항시 북구 북쪽 7km 지역
11/15/2017 14:58,2.9,36.12,129.37,경북 포항시 북구 북쪽 9km 지역
11/15/2017 14:56,2.8,36.1,129.35,경북 포항시 북구 북북서쪽 7km 지역
11/15/2017 14:52,2.4,36.11,129.35,경북 포항시 북구 북쪽 8km 지역
11/15/2017 14:50,2.4,36.1,129.36,경북 포항시 북구 북쪽 6km 지역
11/15/2017 14:46,2.5,36.12,129.39,경북 포항시 북구 북북동쪽 9km 지역
11/15/2017 14:32,3.6,36.1,129.36,경북 포항시 북구 북쪽 7km 지역
11/15/2017 14:29,5.4,36.11,129.37,경북 포항시 북구 북쪽 8km 지역
11/15/2017 14:22,2.6,36.08,129.31,경북 포항시 북구 북서쪽 7km 지역
11/15/2017 14:22,2.2,36.11,129.36,경북 포항시 북구 북쪽 7km 지역
11/14/2017 2:17,2.7,37.29,124.82,인천 백령도 남쪽 75km 해역
11/11/2017 17:18,2.2,34.84,127.46,전남 순천시 남남서쪽 12km 지역
11/9/2017 13:29,2,35.75,129.18,경북 경주시 남남서쪽 10km 지역
11/8/2017 17:52,2,35.16,128.57,경남 창원시 마산합포구 남쪽 4km 지역
11/8/2017 9:35,2.5,33.05,126.2,제주 제주시 고산 남쪽 28km 해역
10/30/2017 11:02,2.1,36.42,126.48,충남 보령시 북서쪽 15km 해역
10/29/2017 2:14,2.2,34.39,127.34,전남 고흥군 남남동쪽 25km 해역
10/21/2017 13:11,2.7,33.63,126.05,제주 제주시 고산 북북서쪽 39km 해역
10/20/2017 12:20,2.2,38.44,126.16,북한 황해북도 평산 서북서쪽 24km 지역
10/20/2017 6:41,2,35.9,127.54,전북 진안군 북동쪽 15km 지역
10/18/2017 4:56,2.6,36.59,129.45,경북 영덕군 북북동쪽 20km 해역
10/16/2017 15:51,2.5,35.79,129.19,경북 경주시 남남서쪽 6km 지역
10/16/2017 6:08,2.8,33.86,125.3,전남 신안군 흑산면 남쪽 89km해역
10/13/2017 1:41,2.7,41.39,129.03,북한 함경북도 길주 북북서쪽 54km지역
10/8/2017 12:18,2.8,34.84,127.25,전남 보성군 동북동쪽 17km 지역
10/4/2017 12:10,2.1,36.16,127.13,충남 논산시 남동쪽 4km 지역
10/4/2017 2:11,2.4,35.56,129.88,울산 동구 동쪽 42km 해역
9/30/2017 15:34,2.5,33.42,127.15,제주 서귀포시 성산 동쪽 25km 해역
9/23/2017 17:29,3.2,41.35,129.06,북한 함경북도 길주 북북서쪽 49km 지역
9/23/2017 13:43,2.6,41.35,129.06,북한 함경북도 길주 북북서쪽 49km 지역
9/16/2017 1:34,2.2,34.25,127.13,전남 여수시 거문도 북서쪽 29km 해역
9/11/2017 17:25,3.2,35.29,124.16,전남 신안군 흑산면 서북서쪽 139km 해역
9/7/2017 14:58,2.9,37.6,125.34,인천 옹진군 연평도 서남서쪽 33km 해역
9/1/2017 5:57,2.1,36.42,127.21,충남 공주시 동남동쪽 9km 지역
8/29/2017 22:06,2.4,35.31,125.36,전남 영광군 안마도 서쪽 61km 해역
8/21/2017 1:30,2.1,38.82,126.13,북한 평양 동남동쪽 39km 지역
8/16/2017 0:35,2.5,38.73,125.69,북한 황해북도 송림 동쪽 5km 지역
8/15/2017 21:32,2.6,38.73,125.67,북한 황해북도 송림 동쪽 3km 지역
8/9/2017 13:53,2.7,33.87,125.52,전남 신안군 흑산면 남쪽 87km 해역
8/7/2017 20:53,2.6,38.7,125.63,북한 황해북도 송림 남남서쪽 4km 지역
7/20/2017 14:38,2,37.39,129.54,강원 삼척시 동남동쪽 33km 해역
7/19/2017 10:23,2.2,33.77,126.12,제주 제주시 북서쪽 48km 해역
7/18/2017 10:31,2.7,37.69,126.19,인천 강화군 서남서쪽 27km 해역
7/9/2017 3:43,2.1,33.51,125.73,제주 제주시 고산 서북서쪽 47km 해역
7/8/2017 23:45,2.8,40.4,127.29,북한 함경남도 장진 동북동쪽 5km 지역
7/6/2017 6:00,2.4,36,127.94,경북 김천시 남서쪽 22km 지역
7/5/2017 19:17,2.5,35.99,127.97,경북 김천시 남서쪽 21km 지역
6/28/2017 13:00,2.7,40,125.81,북한 평안북도 영변 북쪽 22km 지역
6/27/2017 20:17,2,35.77,129.2,경북 경주시 남남서쪽 8km 지역
6/20/2017 11:02,2,35.85,129.08,경북 경주시 서쪽 12km 지역
6/17/2017 14:30,2.3,33.38,127.21,제주 서귀포시 성산 동쪽 30km 해역
